aid	qid	uid
16	12	0A8CFF89-6098-25DF-EC63-933C813AA4F6
17	14	0A8CFF89-6098-25DF-EC63-933C813AA4F6
21	6	62652725-6953-057F-48C1-EB4DA1102EA7
15	6	62652725-6953-057F-48C1-EB4DA1102EA7
21	6	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
14	6	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
15	6	E2DAA26B-D859-E270-A9FC-FCBD50456D33
13	6	E2DAA26B-D859-E270-A9FC-FCBD50456D33
15	8	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
12	8	E2DAA26B-D859-E270-A9FC-FCBD50456D33
12	10	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
14	10	E2DAA26B-D859-E270-A9FC-FCBD50456D33
12	12	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
18	14	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
16	14	A0D3EC5E-50E8-79AA-38DB-19D0D265C9EC
12	12	E2DAA26B-D859-E270-A9FC-FCBD50456D33
12	14	E2DAA26B-D859-E270-A9FC-FCBD50456D33
16	16	E2DAA26B-D859-E270-A9FC-FCBD50456D33
11	6	4B037469-BE65-E21D-3EE8-8DC9FC8CDD1B
12	8	4B037469-BE65-E21D-3EE8-8DC9FC8CDD1B
12	10	4B037469-BE65-E21D-3EE8-8DC9FC8CDD1B
16	10	4B037469-BE65-E21D-3EE8-8DC9FC8CDD1B
12	12	4B037469-BE65-E21D-3EE8-8DC9FC8CDD1B
16	12	4B037469-BE65-E21D-3EE8-8DC9FC8CDD1B
21	6	59E67E63-0223-388D-2D35-C209C8957126
11	6	59E67E63-0223-388D-2D35-C209C8957126
11	8	59E67E63-0223-388D-2D35-C209C8957126
21	6	AE9732F6-B1BA-4F31-FED9-B956846E440B
15	6	AE9732F6-B1BA-4F31-FED9-B956846E440B
16	10	59E67E63-0223-388D-2D35-C209C8957126
12	8	AE9732F6-B1BA-4F31-FED9-B956846E440B
16	12	59E67E63-0223-388D-2D35-C209C8957126
12	12	59E67E63-0223-388D-2D35-C209C8957126
16	14	59E67E63-0223-388D-2D35-C209C8957126
17	14	59E67E63-0223-388D-2D35-C209C8957126
16	10	AE9732F6-B1BA-4F31-FED9-B956846E440B
12	10	AE9732F6-B1BA-4F31-FED9-B956846E440B
21	6	A372D936-6F2B-B714-82FE-225912814C96
15	6	A372D936-6F2B-B714-82FE-225912814C96
21	6	753C8823-FD69-5DA7-27D1-68F7AA209CE6
15	6	753C8823-FD69-5DA7-27D1-68F7AA209CE6
13	8	753C8823-FD69-5DA7-27D1-68F7AA209CE6
11	8	A372D936-6F2B-B714-82FE-225912814C96
12	10	A372D936-6F2B-B714-82FE-225912814C96
21	6	EAB0AA7B-FDFA-8822-AF3F-C782E2C9B842
11	6	EAB0AA7B-FDFA-8822-AF3F-C782E2C9B842
16	12	753C8823-FD69-5DA7-27D1-68F7AA209CE6
16	12	753C8823-FD69-5DA7-27D1-68F7AA209CE6
15	12	753C8823-FD69-5DA7-27D1-68F7AA209CE6
15	8	EAB0AA7B-FDFA-8822-AF3F-C782E2C9B842
18	14	753C8823-FD69-5DA7-27D1-68F7AA209CE6
16	12	A372D936-6F2B-B714-82FE-225912814C96
21	6	6FCE4228-59A5-6946-E23E-70ABEE47FCDE
15	6	6FCE4228-59A5-6946-E23E-70ABEE47FCDE
18	14	A372D936-6F2B-B714-82FE-225912814C96
12	8	6FCE4228-59A5-6946-E23E-70ABEE47FCDE
12	10	6FCE4228-59A5-6946-E23E-70ABEE47FCDE
12	8	3F1A9EDC-7DED-B11C-CE46-854B86D7B601
12	12	6FCE4228-59A5-6946-E23E-70ABEE47FCDE
13	10	3F1A9EDC-7DED-B11C-CE46-854B86D7B601
14	10	3F1A9EDC-7DED-B11C-CE46-854B86D7B601
15	11	3F1A9EDC-7DED-B11C-CE46-854B86D7B601
21	6	5F6C6C12-9E5A-A056-1EEA-1534C63A411E
21	6	D25589E9-3065-4385-163B-553E7760750B
15	6	5F6C6C12-9E5A-A056-1EEA-1534C63A411E
21	6	D25589E9-3065-4385-163B-553E7760750B
13	6	D25589E9-3065-4385-163B-553E7760750B
21	6	D25589E9-3065-4385-163B-553E7760750B
12	6	D25589E9-3065-4385-163B-553E7760750B
11	8	5F6C6C12-9E5A-A056-1EEA-1534C63A411E
12	8	5F6C6C12-9E5A-A056-1EEA-1534C63A411E
12	10	D25589E9-3065-4385-163B-553E7760750B
11	10	D25589E9-3065-4385-163B-553E7760750B
12	12	D25589E9-3065-4385-163B-553E7760750B
16	12	D25589E9-3065-4385-163B-553E7760750B
12	10	5F6C6C12-9E5A-A056-1EEA-1534C63A411E
12	14	D25589E9-3065-4385-163B-553E7760750B
11	14	D25589E9-3065-4385-163B-553E7760750B
16	14	D25589E9-3065-4385-163B-553E7760750B
17	16	D25589E9-3065-4385-163B-553E7760750B
21	6	5FD0E430-1B95-CEFA-A05B-3ABD319A8C8E
15	6	5FD0E430-1B95-CEFA-A05B-3ABD319A8C8E
16	10	5FD0E430-1B95-CEFA-A05B-3ABD319A8C8E
21	6	F3105274-2D85-D1F8-CA5F-4D2311A4AB7A
21	6	F3105274-2D85-D1F8-CA5F-4D2311A4AB7A
13	6	F3105274-2D85-D1F8-CA5F-4D2311A4AB7A
12	8	F3105274-2D85-D1F8-CA5F-4D2311A4AB7A
21	6	8885C899-7315-E0E8-690F-045610438C9C
13	6	8885C899-7315-E0E8-690F-045610438C9C
12	10	F3105274-2D85-D1F8-CA5F-4D2311A4AB7A
11	10	F3105274-2D85-D1F8-CA5F-4D2311A4AB7A
14	8	8885C899-7315-E0E8-690F-045610438C9C
21	6	587D6AB2-0679-3428-D749-493F3E949AA7
12	6	587D6AB2-0679-3428-D749-493F3E949AA7
11	8	60C6C8C1-272D-BA2F-1ABF-B6AFFD19EE28
16	10	60C6C8C1-272D-BA2F-1ABF-B6AFFD19EE28
16	12	60C6C8C1-272D-BA2F-1ABF-B6AFFD19EE28
17	14	60C6C8C1-272D-BA2F-1ABF-B6AFFD19EE28
21	6	E60D1030-768F-191D-3230-DCF7FF9AD7F9
15	6	E60D1030-768F-191D-3230-DCF7FF9AD7F9
16	10	E60D1030-768F-191D-3230-DCF7FF9AD7F9
12	12	E60D1030-768F-191D-3230-DCF7FF9AD7F9
21	6	0D476079-56C6-36C4-CCB5-725CD55EBEF3
15	6	0D476079-56C6-36C4-CCB5-725CD55EBEF3
12	14	E60D1030-768F-191D-3230-DCF7FF9AD7F9
16	16	E60D1030-768F-191D-3230-DCF7FF9AD7F9
21	6	F5E862B3-D64F-C878-6FF1-222FA567B356
14	6	F5E862B3-D64F-C878-6FF1-222FA567B356
15	8	F5E862B3-D64F-C878-6FF1-222FA567B356
12	10	F5E862B3-D64F-C878-6FF1-222FA567B356
15	10	F5E862B3-D64F-C878-6FF1-222FA567B356
15	12	F5E862B3-D64F-C878-6FF1-222FA567B356
12	12	F5E862B3-D64F-C878-6FF1-222FA567B356
18	14	F5E862B3-D64F-C878-6FF1-222FA567B356
17	14	F5E862B3-D64F-C878-6FF1-222FA567B356
21	6	B5627106-0056-5F4C-D890-38EF8AFA6AB2
11	6	B5627106-0056-5F4C-D890-38EF8AFA6AB2
12	8	B5627106-0056-5F4C-D890-38EF8AFA6AB2
16	10	B5627106-0056-5F4C-D890-38EF8AFA6AB2
13	12	B5627106-0056-5F4C-D890-38EF8AFA6AB2
16	14	B5627106-0056-5F4C-D890-38EF8AFA6AB2
15	14	B5627106-0056-5F4C-D890-38EF8AFA6AB2
14	14	B5627106-0056-5F4C-D890-38EF8AFA6AB2
