qid	powerup	dqid	timestamp	q_detail
9	72	E386353E-5B9B-19EA-3F65-75693DC434B2	1527573781	NULL
17	72	1DB2B8FE-C5DD-765D-1CF5-071B98E3C057	1527573889	{"won":true,"time":4.1833333333333}
17	71	1DB2B8FE-C5DD-765D-1CF5-071B98E3C057	1527573936	{"won":true,"time":4.1833333333333}
9	72	4304F08B-E56A-A8FE-32BF-DC5564887D28	1527575527	{"won":true,"time":96.049999999996}
15	72	185C69AF-18D3-4B06-9127-E78330774ECA	1527576037	{"won":true,"time":154.73333333335}
15	72	185C69AF-18D3-4B06-9127-E78330774ECA	1527576058	{"won":true,"time":154.73333333335}
17	72	D729C031-D4A3-8BC1-EE34-BB54C778785B	1527576235	{"won":true,"time":70.116666666664}
9	72	E255A5F4-1CE1-8022-2C4A-61033EE90861	1527576557	{"won":false,"time":4.2248871068296e-11,"answer":"66:35"}
9	71	E255A5F4-1CE1-8022-2C4A-61033EE90861	1527576707	{"won":false,"time":4.2248871068296e-11,"answer":"66:35"}
9	72	E0098920-D4D1-A3D3-4F44-06BB9D752318	1527578367	{"won":true,"time":137.65}
15	72	F23289A1-94E9-B1D7-8600-DFFB4DB69C84	1527578797	{"won":true,"time":68.749999999997}
9	72	DD825F6C-0AD2-18E5-94A3-21E352749C40	1527583937	{"won":false,"time":8.3133500083932e-11,"answer":"1010:35"}
9	72	B2F661E7-65D6-D1D1-8A83-6DD73968ACC4	1527585164	{"won":true,"time":77.83333333333}
13	72	0B690F7B-1833-D748-1151-6ADCEC74BE18	1527585413	{"won":false,"time":58.916666666665,"answer":"00:00"}
15	71	1136CFF6-96FF-EAD5-C5EA-36727D399CB1	1527585508	{"won":false,"time":21.4,"answer":"00:00"}
5	71	76DE79D7-27FA-34E1-97B7-EBD02EF8BE08	1527588677	{"won":false,"time":22.25,"answer":"89:88"}
9	72	424A3D16-6C41-05CD-44CA-08E77531AF40	1527588981	{"won":false,"time":175.83333333337,"answer":"69:35"}
9	72	5FFC5D5A-5A59-FD66-FE1F-C7FFF896EEA7	1527591745	{"won":true,"time":67.499999999997}
17	72	69922EA7-0629-7DCA-A0E9-0B9304453379	1527592207	NULL
9	72	B372C21E-9D56-31FB-38BA-091FFF5B25C5	1527594734	{"won":true,"time":113.83333333333}
11	72	5263AC14-564F-2B42-B6AC-930F5C4BB6C6	1527595013	{"won":true,"time":93.033333333329}
11	71	5263AC14-564F-2B42-B6AC-930F5C4BB6C6	1527595037	{"won":true,"time":93.033333333329}
15	72	242676FE-3C26-EA49-A065-6494F8370808	1527598216	{"won":false,"time":123.61666666666,"answer":"00:00"}
15	72	242676FE-3C26-EA49-A065-6494F8370808	1527598282	{"won":false,"time":123.61666666666,"answer":"00:00"}
5	71	804AF8E4-01C2-EC6E-AD5E-678BB8D3CF4D	1527600211	{"won":true,"time":34.083333333333}
11	71	C80F8FA8-BAA8-E663-F307-AF37292362E9	1527600364	{"won":false,"time":8.790834726824e-11,"answer":null}
9	72	6DCED696-7C56-238B-EE74-AC33B86249CB	1527600609	{"won":true,"time":205.65000000006}
15	72	C449861C-D808-FC71-88C8-63410FCE17DA	1527601267	{"won":false,"time":107.15,"answer":"00:00"}
13	72	09D6C7A9-905A-3A5B-3552-2E62AE0BEE3E	1527601562	{"won":true,"time":50.983333333332}
15	72	83DA04A3-9AA0-77F4-43F4-AC4B61E17AC6	1527601636	{"won":true,"time":65.333333333331}
9	72	868391E1-6255-5C6B-DF3F-A8B0B17FE120	1527601997	{"won":false,"time":58.866666666665,"answer":"04:70"}
11	72	C7800DB4-ABC8-2901-EFF1-7DDD90AF9388	1527603490	{"won":false,"time":5.5820237321313e-11,"answer":null}
13	72	476E791C-7A4C-3022-AD4C-BD4FAD6EFD39	1527604029	{"won":false,"time":85.299999999996,"answer":"00:00"}
9	71	17FC847A-96C5-E6D4-DEC6-C2754933EE2A	1527604692	{"won":true,"time":39.633333333332}
7	71	1F380FEB-E3A0-A7D3-1630-687DA3D02805	1527604712	{"won":false,"time":7.5833333333333,"answer":"3 2 0 3 0 \\/\\/\\/ Correct: 415"}
9	72	0EDC0975-DC6F-A7BC-139C-5DD982BDBAB7	1527604917	{"won":false,"time":8.3133500083932e-11,"answer":"106:35"}
11	71	051466D5-5401-7D60-8779-55C3506A925F	1527605478	NULL
17	72	7E62832B-4207-13B4-9257-478F8D3A8441	1527605759	{"won":true,"time":85.18333333333}
9	72	6519D788-D3F8-5501-2E51-587496B8758D	1527606483	{"won":true,"time":51.183333333332}
9	72	A1F49A9B-CC2A-3D61-1FD0-56F651E36CAC	1527609985	{"won":false,"time":8.3133500083932e-11,"answer":"101:35"}
9	72	FFAA2DA3-A18F-D54C-26BA-5C8C24479549	1527610497	{"won":false,"time":176.50000000003,"answer":"11:35"}
9	71	B0C1C0D1-44C7-8F1F-4641-2BE3D57CED21	1527610534	NULL
11	72	B0E5624A-9993-055F-F03C-D5A7973B1FFE	1527611986	{"won":true,"time":205.51666666672}
13	72	3605ADF8-0890-16F7-A224-012D319DD71F	1527612113	{"won":false,"time":72.016666666664,"answer":"00:00"}
9	71	C3F51810-4E86-62BC-1238-6D3F0B6E1B4A	1527612746	{"won":true,"time":64.466666666664}
9	72	C3F51810-4E86-62BC-1238-6D3F0B6E1B4A	1527612776	{"won":true,"time":64.466666666664}
11	72	4B4CB5A1-6719-0FF6-008D-B97CF28EBAC5	1527613008	{"won":false,"time":214.6333333334,"answer":"05:40"}
9	72	3D59C644-372F-DA4D-DE91-585BECE43182	1527613453	{"won":false,"time":8.3133500083932e-11,"answer":"1010:35"}
5	71	7B6D4A61-CD1A-21ED-B577-02E417E92E3A	1527614183	{"won":false,"time":24.35,"answer":"07:35"}
11	72	16597A4D-D6BB-37B7-7C75-F03B9AC01204	1527614737	{"won":false,"time":5.5820237321313e-11,"answer":null}
9	72	94F7E5E6-9C37-90E8-DB42-24D201158E86	1527615913	{"won":true,"time":61.849999999998}
9	72	78A661DF-70C8-346D-FB7B-3DE0FFF534D6	1527615973	{"won":false,"time":8.3133500083932e-11,"answer":"101:35"}
9	71	94F7E5E6-9C37-90E8-DB42-24D201158E86	1527616011	{"won":true,"time":61.849999999998}
9	72	F399FB2C-6F14-76F2-1222-93E3A84CE32E	1527616318	{"won":true,"time":131.98333333333}
9	71	F399FB2C-6F14-76F2-1222-93E3A84CE32E	1527616402	{"won":true,"time":131.98333333333}
9	71	F399FB2C-6F14-76F2-1222-93E3A84CE32E	1527616402	{"won":true,"time":131.98333333333}
9	72	E525BD33-D7FE-9647-B80B-47AF577D1927	1527616613	{"won":false,"time":3.2528646443097e-11,"answer":"106:59"}
9	71	E525BD33-D7FE-9647-B80B-47AF577D1927	1527616754	{"won":false,"time":3.2528646443097e-11,"answer":"106:59"}
11	71	C5CB7D5B-084E-CDD7-C821-6D2D88553331	1527616768	{"won":true,"time":94.949999999996}
13	71	67F11EBF-FC82-4019-A322-B6DD6419CE2A	1527617115	{"won":true,"time":30.05}
17	72	84EA88E5-FCE4-932D-8F64-6F9BF5FA6028	1527617362	{"won":false,"time":60.066666666665,"answer":"00:00"}
