count(dqid)	uid
8	D499B699-2594-E87E-33F9-6324FBAB4E54
19	D4A815FD-4B55-8A70-99E8-90D03240F26F
11	D51EC524-1992-B025-0BC7-EDAA97F8DD77
30	D5C73B5F-AB5E-6D97-2C65-785C243937B2
30	D5DBC826-3FAD-30F1-0B6E-2BC96FCDEE9F
9	D5E18813-6D2C-DDF0-F60D-3FF2AA522C6C
15	D65A30DA-2D01-6812-39A1-B7C94B0D456D
15	D6834284-94CA-ADD3-C78C-38F379279A19
9	D6BA9076-4874-1EC3-3B71-A94BEBA10D4F
9	D7BE7DA8-5DD6-D71C-A4EF-9555DA737552
29	D7EBE8F7-46FE-DEB1-456A-B18EB8959D70
13	D87DA09D-16EF-CCFC-AB2C-513B29865F58
30	D89A29EA-81E1-2ED8-CBE0-BF676F1D6768
22	D974DD9E-F1BF-88B0-2AC2-742EB7051BFA
30	D98C37C9-4A94-9476-4E00-3FB01B0694B1
12	D9EFE430-0FE3-13F4-AAA2-E23D78D47D14
30	DAEE9BFE-8CF9-642E-CF62-2B3E6A1BA692
17	DC5A6718-83BD-68F7-A158-F9805C4837F2
30	DC68BCBD-392E-9AED-EBA4-522691FF7215
31	DCC12D8B-1519-547A-844C-F9786FFF2E67
16	DCFCD873-D57B-4682-06C5-5BB5E6D26ED8
9	DD016DBB-4DCC-8542-B962-BCDE493EC14D
12	DD36D311-8948-C55A-775A-AFF1192DCE1B
57	DD3F638F-8B2E-6F82-D368-D56E07D80CA6
6	DD675477-7FA1-5A90-ADAD-E46B0079E818
30	DD8067BA-A040-8270-F5D2-D089820A517F
15	DDCDC19B-B4F0-540D-4E06-1C3C3B22F92A
29	DE0872D0-A0F5-23FB-D224-EE0FCFE23777
33	DEE9899E-502F-4941-6189-BFEFFF655593
9	DFAE1A4E-9F15-EBDF-2861-8CB5B8079D93
9	E0003D7E-C05D-3F2F-4F13-41315B6E3AE4
16	E067DBBC-E355-E1EC-CD20-BDD3DD600AFC
25	E06FFF30-AD3E-177A-B498-062CF52069E0
13	E18A1F36-34F0-FCE6-7B20-2006BE659D44
12	E2D711D0-6B03-17D9-023B-DC10BA750FC1
7	E320566A-46D6-933E-4794-56623317C953
30	E4A995B6-4D4E-0AB3-6E07-CB49ED4CA93A
